"ID","Name","Parent","Component","Path","Line","Column","EndLine","EndColumn","CA","CCO","CE","CLLOC","CV","Clone Metric Rules"
"C2953","208~CloneInstance","C553","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/DefaultDateTypeAdapter.java","142","32","153","6","1","4","16","12","1","0"
"C3583","241~CloneInstance","C783","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/codegen/src/main/java/com/google/gson/codegen/JavaWriter.java","383","5","394","6","1","5","8","12","1","0"
"C3584","242~CloneInstance","C783","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/codegen/src/main/java/com/google/gson/codegen/JavaWriter.java","395","5","406","6","1","5","8","12","1","0"
"C4429","413~CloneInstance","C1059","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/extras/src/main/java/com/google/gson/typeadapters/RuntimeTypeAdapterFactory.java","161","3","171","4","1","3","76","11","1","0"
"C4457","419~CloneInstance","C1072","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/extras/src/main/java/com/google/gson/typeadapters/RuntimeTypeAdapterFactory.java","185","5","197","6","1","3","75","13","1","0"
"C4408","403~CloneInstance","C1049","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/extras/src/main/java/com/google/gson/typeadapters/UtcDateTypeAdapter.java","76","3","115","4","1","6","10","40","1","1"
"C1211","4~CloneInstance","C124","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/extras/src/main/java/com/google/gson/typeadapters/UtcDateTypeAdapter.java","211","7","222","33","1","1","10","12","1","0"
"C4410","406~CloneInstance","C1050","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/extras/src/main/java/com/google/gson/typeadapters/UtcDateTypeAdapter.java","143","7","163","28","1","3","44","21","1","0"
"C4320","380~CloneInstance","C1014","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/extras/src/test/java/com/google/gson/typeadapters/RuntimeTypeAdapterFactoryTest.java","96","3","105","4","1","2","30","10","1","0"
"C4321","381~CloneInstance","C1014","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/extras/src/test/java/com/google/gson/typeadapters/RuntimeTypeAdapterFactoryTest.java","107","3","116","4","1","2","31","10","1","0"
"C4168","361~CloneInstance","C955","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/extras/src/test/java/com/google/gson/typeadapters/RuntimeTypeAdapterFactoryTest.java","118","3","129","4","1","2","98","12","1","0"
"C4169","362~CloneInstance","C955","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/extras/src/test/java/com/google/gson/typeadapters/RuntimeTypeAdapterFactoryTest.java","131","3","142","4","1","2","98","12","1","0"
"C3084","217~CloneInstance","C602","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java","137","5","173","24","1","9","24","37","1","1"
"C1185","1~CloneInstance","C115","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java","252","5","300","16","1","7","22","49","1","1"
"C2626","154~CloneInstance","C465","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java","346","10","364","8","1","5","12","19","1","0"
"C2627","155~CloneInstance","C465","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java","364","17","382","8","1","5","12","19","1","0"
"C4385","394~CloneInstance","C1039","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java","338","3","396","4","1","17","9","59","1","2"
"C4381","389~CloneInstance","C1038","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java","401","3","424","4","1","5","5","24","1","0"
"C4382","390~CloneInstance","C1038","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java","429","3","452","4","1","5","5","24","1","0"
"C3085","218~CloneInstance","C602","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/LinkedTreeMap.java","124","5","160","24","1","9","24","37","1","1"
"C1186","2~CloneInstance","C115","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/LinkedTreeMap.java","223","5","273","16","1","7","22","51","1","1"
"C2628","156~CloneInstance","C465","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/LinkedTreeMap.java","318","10","336","8","1","5","12","19","1","0"
"C2629","157~CloneInstance","C465","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/LinkedTreeMap.java","336","17","354","8","1","5","12","19","1","0"
"C4386","395~CloneInstance","C1039","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/LinkedTreeMap.java","310","3","368","4","1","17","9","59","1","2"
