"ID","Name","Component","CA","CCO","CE","CEE","CEG","CI","CLLOC","CR","CV","NCR","Clone Metric Rules"
"C115","0~CloneClass","L103","1","14","45","8.18182","15.5556","2","50","127.273","1","0.0909091","2"
"C124","3~CloneClass","L103","1","2","21","38.1818","1.14286","2","12","43.6364","1","0.909091","1"
"C141","6~CloneClass","L103","1","12","85","15.4545","2.11765","4","15","32.7273","1","0.0454545","2"
"C153","11~CloneClass","L103","1","6","41","3.72727","2.04878","2","14","7.63636","1","0.0454545","0"
"C261","14~CloneClass","L103","1","12","18","27.8182","7.33333","2","11","204","1","0.772727","2"
"C264","17~CloneClass","L103","1","10","19","1.72727","7.10526","2","13.5","12.2727","1","0.0454545","0"
"C268","20~CloneClass","L103","1","18","115","31.3636","2.03478","6","13","63.8182","1","0.0454545","3"
"C269","27~CloneClass","L103","1","12","89","16.1818","2.1573","4","16","34.9091","1","0.0454545","2"
"C271","32~CloneClass","L103","1","6","37","16.8182","1.78378","2","11","30","1","0.227273","1"
"C273","35~CloneClass","L103","1","35","161","175.636","4.34783","7","20","763.636","1","0.155844","4"
"C274","43~CloneClass","L103","1","24","83","45.2727","7.22892","4","25","327.273","1","0.136364","2"
"C321","48~CloneClass","L103","1","10","43","19.5455","5.23256","2","22.5","102.273","1","0.227273","1"
"C334","51~CloneClass","L103","1","6","209","57","0.488038","6","17","27.8182","1","0.0454545","2"
"C335","58~CloneClass","L103","1","7","239","76.0455","0.447699","7","15.2857","34.0455","1","0.0454545","2"
"C336","66~CloneClass","L103","1","7","225","71.5909","0.4","7","12.8571","28.6364","1","0.0454545","2"
"C337","74~CloneClass","L103","1","9","273","111.682","0.358974","9","10.8889","40.0909","1","0.0454545","2"
"C345","84~CloneClass","L103","1","6","39","17.7273","1.84615","2","12","32.7273","1","0.227273","1"
"C346","87~CloneClass","L103","1","14","47","4.27273","9.38298","2","31.5","40.0909","1","0.0454545","1"
"C347","90~CloneClass","L103","1","20","109","75.9697","3.89908","4","21.25","296.212","1","0.174242","4"
"C348","95~CloneClass","L103","1","8","54","24.5455","2.37037","2","16","58.1818","1","0.227273","1"
"C349","98~CloneClass","L103","1","8","54","24.5455","2.37037","2","16","58.1818","1","0.227273","1"
"C360","101~CloneClass","L103","1","10","37","3.36364","5.13514","2","19","17.2727","1","0.0454545","0"
"C438","104~CloneClass","L103","1","3","134","18.2727","0.544776","3","24.3333","9.95455","1","0.0454545","2"
"C439","108~CloneClass","L103","1","2","101","9.18182","0.643564","2","32.5","5.90909","1","0.0454545","0"
"C442","111~CloneClass","L103","1","2","97","8.81818","0.628866","2","30.5","5.54545","1","0.0454545","0"
"C443","114~CloneClass","L103","1","2","93","8.45455","0.602151","2","28","5.09091","1","0.0454545","0"
"C444","117~CloneClass","L103","1","2","89","8.09091","0.58427","2","26","4.72727","1","0.0454545","0"
"C445","120~CloneClass","L103","1","3","128","17.4545","0.523438","3","22.3333","9.13636","1","0.0454545","2"
"C446","124~CloneClass","L103","1","4","153","27.8182","0.496732","4","19","13.8182","1","0.0454545","2"
"C447","129~CloneClass","L103","1","6","203","55.3636","0.482759","6","16.3333","26.7273","1","0.0454545","2"
"C448","136~CloneClass","L103","1","7","232","73.8182","0.431034","7","14.2857","31.8182","1","0.0454545","2"
"C449","144~CloneClass","L103","1","8","243","88.3636","0.399177","8","12.125","35.2727","1","0.0454545","2"
"C465","153~CloneClass","L103","1","20","49","14.8485","7.7551","4","19","115.152","1","0.0757576","2"
"C469","158~CloneClass","L103","1","14","17","1.54545","11.5294","2","14","17.8182","1","0.0454545","1"
"C474","161~CloneClass","L103","1","10","41","18.6364","5.12195","2","21","95.4546","1","0.227273","1"
"C475","164~CloneClass","L103","1","10","71","32.2727","3.09859","2","22","100","1","0.227273","1"
"C476","167~CloneClass","L103","1","14","45","4.09091","9.33333","2","30","38.1818","1","0.0454545","1"
"C480","170~CloneClass","L103","1","36","192","259.636","2.8125","9","15","730.227","1","0.150253","4"
"C481","180~CloneClass","L103","1","48","315","740.727","1.52381","16","10","1128.73","1","0.14697","3"
"C482","197~CloneClass","L103","1","6","50","22.7273","1.2","2","10","27.2727","1","0.227273","1"
"C483","200~CloneClass","L103","1","6","50","22.7273","1.2","2","10","27.2727","1","0.227273","1"
"C486","203~CloneClass","L103","1","4","39","3.54545","1.33333","2","13","4.72727","1","0.0454545","0"
"C553","206~CloneClass","L103","1","8","31","11.2727","3.09677","2","12","34.9091","1","0.181818","1"
