"ID","Name","LongName","CC","CCL","CCO","CEE","CEG","CI","CLC","CLLC","CR","LDC","LLDC","NCR","TAD","TCD","TCLOC","TPDA","TPUA","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Best Practice Rules","Code Style Rules","Design Rules","Documentation Rules","Error Prone Rules","Multithreading Rules","Performance Rules","Runtime Rules","Security Rules"
"L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/.columbus_java/gson-parent-2.8.5.ljsi","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/.columbus_java/gson-parent-2.8.5.ljsi","0.0991975","109","962","3919.41","4.07639","314","0.0708157","0.100731","0.337455","2707","2537","0.145177","0.289239","0.261559","8921","551","1354","25186","38226","955","781","111","16","201","142","17","2548","12700","181","212","8","11","27","2126","77","0","60","9030","264","3676","2753","846","109","11","187","6","88","0","0"
"L102","<System>","<System>","0.0991975","109","962","3919.41","4.07639","314","0.0708157","0.100731","0.337455","2707","2537","0.145177","0.289239","0.261559","8921","551","1354","25186","38226","955","781","111","16","201","142","17","2548","12700","181","212","8","11","27","2126","77","0","60","9030","264","3676","2753","846","109","11","187","6","88","0","0"
