"ID","Name","LongName","Parent","McCC","CLOC","PDA","PUA","LLOC","LOC"
"L178","ParameterizedTypeFixtures.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/test/java/com/google/gson/ParameterizedTypeFixtures.java","L154","21","0","2","12","129","178"
"L179","ParameterizedTypeTest.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/test/java/com/google/gson/ParameterizedTypeTest.java","L154","1","0","1","2","28","58"
"L180","PrimitiveTypeAdapter.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/test/java/com/google/gson/PrimitiveTypeAdapter.java","L154","12","0","0","0","45","74"
"L181","VersionExclusionStrategyTest.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/test/java/com/google/gson/VersionExclusionStrategyTest.java","L154","1","0","1","3","27","56"
"L2878","GsonTypesTest.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/test/java/com/google/gson/internal/GsonTypesTest.java","L2877","4","0","1","3","39","75"
"L2879","LazilyParsedNumberTest.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/test/java/com/google/gson/internal/LazilyParsedNumberTest.java","L2877","1","0","0","3","14","33"
"L2880","LinkedHashTreeMapTest.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/test/java/com/google/gson/internal/LinkedHashTreeMapTest.java","L2877","20","0","1","15","239","291"
"L2881","LinkedTreeMapTest.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/test/java/com/google/gson/internal/LinkedTreeMapTest.java","L2877","6","0","0","12","114","151"
"L2882","UnsafeAllocatorInstantiationTest.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/test/java/com/google/gson/internal/UnsafeAllocatorInstantiationTest.java","L2877","4","0","4","3","36","75"
"L6550","TypeTokenTest.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/test/java/com/google/gson/reflect/TypeTokenTest.java","L6549","1","0","1","6","64","106"
"L6720","JsonReaderPathTest.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/test/java/com/google/gson/stream/JsonReaderPathTest.java","L6719","1","0","0","12","211","257"
"L6721","JsonReaderTest.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/test/java/com/google/gson/stream/JsonReaderTest.java","L6719","107","0","6","119","1557","1788"
"L6722","JsonWriterTest.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/test/java/com/google/gson/stream/JsonWriterTest.java","L6719","27","0","0","40","581","649"
"L7447","MoreAsserts.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/test/java/com/google/gson/common/MoreAsserts.java","L7446","7","0","2","3","38","74"
"L7448","TestTypes.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/test/java/com/google/gson/common/TestTypes.java","L7446","22","0","2","66","342","422"
"L7820","ArrayTest.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/test/java/com/google/gson/functional/ArrayTest.java","L7819","5","0","5","22","198","269"
"L7821","CircularReferenceTest.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/test/java/com/google/gson/functional/CircularReferenceTest.java","L7819","4","0","1","6","89","127"
"L7822","CollectionTest.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/test/java/com/google/gson/functional/CollectionTest.java","L7819","12","0","1","29","341","416"
"L7823","ConcurrencyTest.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/test/java/com/google/gson/functional/ConcurrencyTest.java","L7819","9","0","5","0","91","141"
"L7824","CustomDeserializerTest.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/test/java/com/google/gson/functional/CustomDeserializerTest.java","L7819","1","0","1","7","159","213"
"L7825","CustomSerializerTest.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/test/java/com/google/gson/functional/CustomSerializerTest.java","L7819","2","0","1","5","71","103"
"L7826","CustomTypeAdaptersTest.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/test/java/com/google/gson/functional/CustomTypeAdaptersTest.java","L7819","8","0","8","20","386","466"
"L7827","DefaultTypeAdaptersTest.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/test/java/com/google/gson/functional/DefaultTypeAdaptersTest.java","L7819","10","0","4","62","631","749"
"L7828","DelegateTypeAdapterTest.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/test/java/com/google/gson/functional/DelegateTypeAdapterTest.java","L7819","2","0","1","2","61","95"
"L7829","EnumTest.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/test/java/com/google/gson/functional/EnumTest.java","L7819","1","0","2","14","163","217"
"L7830","EscapingTest.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/test/java/com/google/gson/functional/EscapingTest.java","L7819","1","0","1","5","59","93"
"L7831","ExclusionStrategyFunctionalTest.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/test/java/com/google/gson/functional/ExclusionStrategyFunctionalTest.java","L7819","2","0","1","9","149","203"
"L7832","ExposeFieldsTest.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/test/java/com/google/gson/functional/ExposeFieldsTest.java","L7819","2","0","1","8","115","170"
"L7833","FieldExclusionTest.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/test/java/com/google/gson/functional/FieldExclusionTest.java","L7819","1","0","1","3","55","93"
"L7834","FieldNamingTest.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/test/java/com/google/gson/functional/FieldNamingTest.java","L7819","1","0","0","6","64","90"
"L7835","InheritanceTest.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/test/java/com/google/gson/functional/InheritanceTest.java","L7819","17","0","1","13","226","278"
"L7836","InstanceCreatorTest.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/test/java/com/google/gson/functional/InstanceCreatorTest.java","L7819","1","0","2","4","91","128"
"L7837","InterfaceTest.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/test/java/com/google/gson/functional/InterfaceTest.java","L7819","1","0","1","2","37","73"
"L7838","InternationalizationTest.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/test/java/com/google/gson/functional/InternationalizationTest.java","L7819","1","0","2","3","33","72"
"L7839","JavaUtilConcurrentAtomicTest.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/test/java/com/google/gson/functional/JavaUtilConcurrentAtomicTest.java","L7819","1","0","1","7","78","111"
"L7840","JavaUtilTest.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/test/java/com/google/gson/functional/JavaUtilTest.java","L7819","1","0","1","2","33","63"
