"ID","Name","LongName","CC","CCL","CCO","CEE","CEG","CI","CLC","CLLC","CR","LDC","LLDC","NCR","TAD","TCD","TCLOC","TPDA","TPUA","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Best Practice Rules","Code Style Rules","Design Rules","Documentation Rules","Error Prone Rules","Multithreading Rules","Performance Rules","Runtime Rules","Security Rules"
"L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/.columbus_java/gson-parent-2.8.4.ljsi","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/.columbus_java/gson-parent-2.8.4.ljsi","0.0998045","109","962","3919.41","4.10291","314","0.0713702","0.101387","0.339653","2707","2537","0.145177","0.289042","0.260637","8821","546","1343","25023","37929","951","775","107","16","197","141","17","2528","12637","180","208","8","11","28","2112","76","0","60","8973","263","3644","2723","844","109","11","186","6","88","0","0"
"L102","<System>","<System>","0.0998045","109","962","3919.41","4.10291","314","0.0713702","0.101387","0.339653","2707","2537","0.145177","0.289042","0.260637","8821","546","1343","25023","37929","951","775","107","16","197","141","17","2528","12637","180","208","8","11","28","2112","76","0","60","8973","263","3644","2723","844","109","11","186","6","88","0","0"
