"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Best Practice Rules","Clone Metric Rules","Code Style Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Documentation Rules","Error Prone Rules","Inheritance Metric Rules","Multithreading Rules","Performance Rules","Runtime Rules","Security Rules","Size Metric Rules"
"L1856","DefaultDateTypeAdapter","com.google.gson.DefaultDateTypeAdapter","L106","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/DefaultDateTypeAdapter.java","44","1","165","2","0.0694698","1","4","1","0.0983607","0.117647","12","12","1","3","2","29","8","2","11","10","20","0.333333","0.12069","14","13","2","4","0.12069","14","1","1","0","0","1","102","122","3","0","3","0","10","0","5","0","17","54","0","12","0","102","122","3","0","3","0","10","0","5","0","17","54","0","12","0","0","0","31","0","2","0","8","1","0","0","0","0","23","0","1","0","0","0","0","0","0"
"L1952","FieldAttributes","com.google.gson.FieldAttributes","L106","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/FieldAttributes.java","36","1","161","2","0","0","0","0","0","0","0","0","1","0","0","10","1","6","9","1","11","1","0.730159","92","92","9","0","0.730159","92","0","0","0","0","0","34","126","1","6","1","6","10","0","8","0","10","11","0","8","0","34","126","1","6","1","6","10","0","8","0","10","11","0","8","0","0","0","1","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","1"
"L580","Gson","com.google.gson.Gson","L106","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/Gson.java","104","1","1024","2","0","0","0","0","0","0","0","0","3","3","3","73","33","126","787","36","73","0.833333","0.492574","398","385","25","5","0.440265","398","0","0","0","0","0","410","822","30","3","30","3","37","0","29","0","37","223","0","29","0","506","921","31","3","31","3","50","0","42","1","92","283","0","84","1","0","0","99","1","38","2","0","32","6","0","3","0","79","0","5","0","0","0","0","0","11"
"L813","GsonBuilder","com.google.gson.GsonBuilder","L106","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/GsonBuilder.java","78","1","627","2","0","0","0","0","0","0","0","0","1","2","1","44","16","55","217","15","42","1","0.647378","358","357","26","0","0.647378","358","0","0","0","0","0","195","550","16","0","16","0","27","0","25","10","27","100","0","25","10","195","550","16","0","16","0","27","0","25","10","27","100","0","25","10","0","0","11","0","9","0","0","5","0","0","1","0","2","1","3","0","0","0","0","0","8"
"L728","JsonArray","com.google.gson.JsonArray","L106","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/JsonArray.java","33","1","384","2","0","0","0","0","0","0","0","0","1","2","2","51","3","20","34","17","47","0.83871","0.533333","176","176","26","5","0.533333","176","1","1","0","0","1","154","352","1","29","1","12","30","0","30","0","52","61","0","51","0","154","352","1","29","1","12","30","0","30","0","52","61","0","51","0","0","0","19","0","4","2","0","2","0","0","0","0","11","0","0","0","0","0","0","0","8"
"L876","JsonElement","com.google.gson.JsonElement","L106","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/JsonElement.java","33","1","331","2","0","0","0","0","0","0","0","0","5","1","1","28","6","102","101","3","26","1","0.683099","194","194","23","0","0.683099","194","0","0","4","4","0","90","299","0","17","0","17","23","0","22","0","23","36","0","22","0","90","299","0","17","0","17","23","0","22","0","23","36","0","22","0","0","0","8","0","2","0","0","2","1","0","0","0","2","0","0","0","0","0","0","0","5"
"L2534","JsonIOException","com.google.gson.JsonIOException","L106","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/JsonIOException.java","25","1","45","2","0","0","0","0","0","0","0","0","0","0","0","3","1","8","13","3","6","0.5","0.52","13","13","2","2","0.52","13","1","1","0","0","1","12","21","2","0","1","0","3","0","3","0","6","3","0","6","0","12","21","2","0","1","0","3","0","3","0","6","3","0","6","0","0","0","5","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0"
"L3368","JsonNull","com.google.gson.JsonNull","L106","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/JsonNull.java","26","1","67","2","0","0","0","0","0","0","0","0","3","0","0","5","1","15","2","0","4","1","0.6","27","26","5","0","0.6","27","1","1","0","0","1","18","42","1","17","1","0","4","1","4","0","26","3","1","25","0","18","42","1","17","1","0","4","1","4","0","26","3","1","25","0","0","0","6","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","5"
"L1531","JsonObject","com.google.gson.JsonObject","L106","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/JsonObject.java","32","1","218","2","0","0","0","0","0","0","0","0","1","1","1","23","5","40","74","9","27","0.888889","0.610169","108","108","16","2","0.610169","108","1","1","0","0","1","69","187","1","20","1","3","18","0","17","0","40","23","0","38","0","69","187","1","20","1","3","18","0","17","0","40","23","0","38","0","0","0","7","0","2","1","0","1","0","0","0","0","5","0","0","0","0","0","0","0","2"
"L1224","JsonParseException","com.google.gson.JsonParseException","L106","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/JsonParseException.java","32","1","64","2","0","0","0","0","0","0","0","0","0","0","0","3","0","50","17","0","3","1","0.72093","31","31","4","0","0.72093","31","0","0","2","2","0","12","33","1","0","1","0","3","0","3","0","3","3","0","3","0","12","33","1","0","1","0","3","0","3","0","3","3","0","3","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L723","JsonParser","com.google.gson.JsonParser","L106","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/JsonParser.java","34","1","93","2","0","0","0","0","0","0","0","0","1","2","2","10","8","7","31","10","13","1","0.46875","30","30","4","0","0.46875","30","0","0","0","0","0","34","60","0","0","0","0","3","0","3","0","3","17","0","3","0","34","60","0","0","0","0","3","0","3","0","3","17","0","3","0","0","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1542","JsonPrimitive","com.google.gson.JsonPrimitive","L106","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/JsonPrimitive.java","33","1","345","2","0","0","0","0","0","0","0","0","2","2","2","62","3","42","93","2","29","0.826087","0.436426","127","121","19","4","0.436426","127","1","1","0","0","1","164","313","2","30","2","13","27","0","22","1","49","67","0","43","1","164","313","2","30","2","13","27","0","22","1","49","67","0","43","1","0","0","21","0","2","0","0","2","1","1","0","0","13","0","0","0","0","0","0","0","6"
"L6492","JsonStreamParser","com.google.gson.JsonStreamParser","L106","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/JsonStreamParser.java","52","1","122","2","0","0","0","0","0","0","0","0","2","1","1","12","8","2","7","7","12","1","0.54023","47","47","6","0","0.54023","47","0","0","0","0","0","40","71","2","0","2","0","5","0","5","0","5","17","0","5","0","40","71","2","0","2","0","5","0","5","0","5","17","0","5","0","0","0","1","0","4","3","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
