"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Best Practice Rules","Clone Metric Rules","Code Style Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Documentation Rules","Error Prone Rules","Inheritance Metric Rules","Multithreading Rules","Performance Rules","Runtime Rules","Security Rules","Size Metric Rules"
"L243","GeneratedTypeAdapter","com.google.gson.codegen.GeneratedTypeAdapter","L182","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/codegen/src/main/java/com/google/gson/codegen/GeneratedTypeAdapter.java","19","1","21","2","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","3","3","0","0","0","0","1","0","0","0","1","0","0","0","0","3","3","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0"
"L1130","Intercept","com.google.gson.interceptors.Intercept","L1123","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/extras/src/main/java/com/google/gson/interceptors/Intercept.java","54","1","64","2","0","0","0","0","0","0","0","0","0","0","0","1","1","4","1","0","1","1","0.846154","33","33","2","0","0.846154","33","0","0","0","0","0","6","11","0","0","0","0","1","0","1","0","1","0","0","1","0","6","11","0","0","0","0","1","0","1","0","1","0","0","1","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4286","Expose","com.google.gson.annotations.Expose","L5425","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/annotations/Expose.java","61","1","81","2","0","0","0","0","0","0","0","0","0","0","0","2","0","1","1","0","2","1","0.872727","48","48","3","0","0.872727","48","0","0","0","0","0","7","21","0","0","0","0","2","0","2","0","2","0","0","2","0","7","21","0","0","0","0","2","0","2","0","2","0","0","2","0","0","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2308","JsonAdapter","com.google.gson.annotations.JsonAdapter","L5425","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/annotations/JsonAdapter.java","94","1","104","2","0","0","0","0","0","0","0","0","0","0","0","2","0","13","1","0","2","1","0.918919","68","68","1","0","0.918919","68","0","0","0","0","0","6","11","0","0","0","0","2","0","0","0","2","0","0","0","0","6","11","0","0","0","0","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L618","SerializedName","com.google.gson.annotations.SerializedName","L5425","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/annotations/SerializedName.java","80","1","93","2","0","0","0","0","0","0","0","0","0","0","0","2","0","2","2","0","2","1","0.897059","61","61","1","0","0.897059","61","0","0","0","0","0","7","14","0","0","0","0","2","0","0","0","2","0","0","0","0","7","14","0","0","0","0","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4278","Since","com.google.gson.annotations.Since","L5425","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/annotations/Since.java","54","1","63","2","0","0","0","0","0","0","0","0","0","0","0","1","0","3","1","0","1","1","0.846154","33","33","1","0","0.846154","33","0","0","0","0","0","6","10","0","0","0","0","1","0","0","0","1","0","0","0","0","6","10","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4281","Until","com.google.gson.annotations.Until","L5425","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/annotations/Until.java","58","1","68","2","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","1","1","0.860465","37","37","1","0","0.860465","37","0","0","0","0","0","6","11","0","0","0","0","1","0","0","0","1","0","0","0","0","6","11","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L9311","ExclusionStrategyFunctionalTest$Foo","com.google.gson.functional.ExclusionStrategyFunctionalTest$Foo","L9264","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/test/java/com/google/gson/functional/ExclusionStrategyFunctionalTest.java","164","3","168","4","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0.2","1","0","0","1","0.2","1","0","0","0","0","0","4","5","0","0","0","0","0","0","0","0","0","0","0","0","0","4","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","1","0","0","1","0","0","0","0","3","0","0","0","0","0","0","0","0"
