"ID","Name","Parent","Component","Path","Line","Column","EndLine","EndColumn","CA","CCO","CE","CLLOC","CV","Clone Metric Rules"
"C2971","211~CloneInstance","C554","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/DefaultDateTypeAdapter.java","142","32","153","6","1","4","16","12","1","0"
"C3202","226~CloneInstance","C647","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/Gson.java","705","7","715","6","1","3","33","11","1","0"
"C3203","227~CloneInstance","C647","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/Gson.java","785","7","795","6","1","3","33","11","1","0"
"C3654","250~CloneInstance","C809","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/test/java/com/google/gson/JsonPrimitiveTest.java","35","5","44","6","1","3","12","10","1","0"
"C3655","251~CloneInstance","C809","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/test/java/com/google/gson/JsonPrimitiveTest.java","45","5","54","6","1","3","12","10","1","0"
"C3630","244~CloneInstance","C798","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/codegen/src/main/java/com/google/gson/codegen/JavaWriter.java","383","5","394","6","1","5","8","12","1","0"
"C3631","245~CloneInstance","C798","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/codegen/src/main/java/com/google/gson/codegen/JavaWriter.java","395","5","406","6","1","5","8","12","1","0"
"C4470","416~CloneInstance","C1076","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/extras/src/main/java/com/google/gson/typeadapters/RuntimeTypeAdapterFactory.java","172","3","182","4","1","3","76","11","1","0"
"C4494","422~CloneInstance","C1087","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/extras/src/main/java/com/google/gson/typeadapters/RuntimeTypeAdapterFactory.java","196","5","208","6","1","3","75","13","1","0"
"C4449","406~CloneInstance","C1066","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/extras/src/main/java/com/google/gson/typeadapters/UtcDateTypeAdapter.java","76","3","115","4","1","6","10","40","1","1"
"C1253","4~CloneInstance","C125","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/extras/src/main/java/com/google/gson/typeadapters/UtcDateTypeAdapter.java","211","7","222","33","1","1","10","12","1","0"
"C4451","409~CloneInstance","C1067","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/extras/src/main/java/com/google/gson/typeadapters/UtcDateTypeAdapter.java","143","7","163","28","1","3","44","21","1","0"
"C4357","383~CloneInstance","C1030","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/extras/src/test/java/com/google/gson/typeadapters/RuntimeTypeAdapterFactoryTest.java","96","3","105","4","1","2","30","10","1","0"
"C4358","384~CloneInstance","C1030","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/extras/src/test/java/com/google/gson/typeadapters/RuntimeTypeAdapterFactoryTest.java","107","3","116","4","1","2","31","10","1","0"
"C4205","364~CloneInstance","C971","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/extras/src/test/java/com/google/gson/typeadapters/RuntimeTypeAdapterFactoryTest.java","118","3","129","4","1","2","98","12","1","0"
"C4206","365~CloneInstance","C971","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/extras/src/test/java/com/google/gson/typeadapters/RuntimeTypeAdapterFactoryTest.java","131","3","142","4","1","2","98","12","1","0"
"C3106","220~CloneInstance","C605","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java","137","5","173","24","1","9","24","37","1","1"
"C1199","1~CloneInstance","C115","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java","252","5","300","16","1","7","22","49","1","1"
"C2639","154~CloneInstance","C464","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java","346","10","364","8","1","5","12","19","1","0"
