"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Best Practice Rules","Clone Metric Rules","Code Style Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Documentation Rules","Error Prone Rules","Inheritance Metric Rules","Multithreading Rules","Performance Rules","Runtime Rules","Security Rules","Size Metric Rules"
"L1524","RuntimeTypeAdapterFactory$1","com.google.gson.typeadapters.RuntimeTypeAdapterFactory$1","L1492","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/extras/src/main/java/com/google/gson/typeadapters/RuntimeTypeAdapterFactory.java","210","33","263","6","0.25","1","3","1","0.222222","0.25","12","12","2","1","1","9","9","0","0","13","15","0","0.04","2","0","0","3","0.04","2","1","1","0","0","1","48","54","0","0","0","0","2","0","2","0","9","28","0","9","0","48","54","0","0","0","0","2","0","2","0","9","28","0","9","0","0","0","19","0","0","0","11","0","1","0","0","0","7","0","0","0","0","0","0","0","0"
"L2134","ArrayTypeAdapter$1","com.google.gson.internal.bind.ArrayTypeAdapter$1","L2128","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/bind/ArrayTypeAdapter.java","39","77","52","4","0","0","0","0","0","0","0","0","1","1","1","4","5","0","0","1","2","0","0","0","0","0","2","0","0","1","1","0","0","1","13","14","0","0","0","0","1","0","1","0","1","6","0","1","0","13","14","0","0","0","0","1","0","1","0","1","6","0","1","0","0","0","5","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0"
"L2211","CollectionTypeAdapterFactory$Adapter<E extends Object>","com.google.gson.internal.bind.CollectionTypeAdapterFactory$Adapter","L2192","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/bind/CollectionTypeAdapterFactory.java","61","3","101","4","0","0","0","0","0","0","0","0","1","1","1","7","7","1","1","12","15","0","0","0","0","0","4","0","0","1","1","0","0","1","36","41","2","0","2","0","3","0","3","0","10","19","0","10","0","36","41","2","0","2","0","3","0","3","0","10","19","0","10","0","0","0","9","0","1","0","0","1","0","0","0","0","9","0","0","0","0","0","0","0","0"
"L2244","DateTypeAdapter$1","com.google.gson.internal.bind.DateTypeAdapter$1","L2241","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/bind/DateTypeAdapter.java","47","77","52","4","0","0","0","0","0","0","0","0","1","0","0","2","5","0","0","1","2","0","0.142857","1","0","0","2","0.142857","1","1","1","0","0","1","6","6","0","0","0","0","1","0","1","0","1","1","0","1","0","6","6","0","0","0","0","1","0","1","0","1","1","0","1","0","0","0","5","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0"
"L2351","JsonTreeReader$1","com.google.gson.internal.bind.JsonTreeReader$1","L2345","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/bind/JsonTreeReader.java","39","64","46","4","0","0","0","0","0","0","0","0","2","0","0","2","0","0","0","0","2","0","0","0","0","0","3","0","0","0","0","0","0","0","8","8","0","0","0","0","2","0","2","0","2","2","0","2","0","8","8","0","0","0","0","2","0","2","0","2","2","0","2","0","0","0","8","0","0","0","0","0","1","0","0","0","7","0","0","0","0","0","0","0","0"
"L2483","JsonTreeWriter$1","com.google.gson.internal.bind.JsonTreeWriter$1","L2480","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/bind/JsonTreeWriter.java","34","64","44","4","0","0","0","0","0","0","0","0","3","0","0","3","0","0","0","0","3","0","0","0","0","0","4","0","0","0","0","0","0","0","11","11","0","0","0","0","3","0","3","0","3","3","0","3","0","11","11","0","0","0","0","3","0","3","0","3","3","0","3","0","0","0","10","0","0","0","0","0","1","0","0","0","9","0","0","0","0","0","0","0","0"
"L2590","MapTypeAdapterFactory$Adapter<K extends Object, V extends Object>","com.google.gson.internal.bind.MapTypeAdapterFactory$Adapter","L2572","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/bind/MapTypeAdapterFactory.java","145","3","263","4","0","0","0","0","0","0","0","0","1","4","3","23","13","1","1","32","36","0","0.018018","2","0","0","4","0.018018","2","1","1","0","0","1","109","119","3","0","3","0","4","0","3","0","11","79","0","10","0","109","119","3","0","3","0","4","0","3","0","11","79","0","10","0","0","0","15","0","6","2","0","4","0","0","3","0","11","0","0","0","0","0","0","0","1"
"L2661","ObjectTypeAdapter$1","com.google.gson.internal.bind.ObjectTypeAdapter$1","L2658","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/bind/ObjectTypeAdapter.java","38","77","46","4","0","0","0","0","0","0","0","0","1","1","1","2","5","0","0","1","2","0","0","0","0","0","2","0","0","1","1","0","0","1","9","9","0","0","0","0","1","0","1","0","1","3","0","1","0","9","9","0","0","0","0","1","0","1","0","1","3","0","1","0","0","0","5","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0"
"L2780","ReflectiveTypeAdapterFactory$BoundField","com.google.gson.internal.bind.ReflectiveTypeAdapterFactory$BoundField","L2700","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/bind/ReflectiveTypeAdapterFactory.java","182","3","195","4","0","0","0","0","0","0","0","0","0","0","0","4","2","3","2","0","4","0","0","0","0","0","1","0","0","0","0","1","1","0","13","14","3","0","3","0","4","0","0","0","4","3","0","0","0","13","14","3","0","3","0","4","0","0","0","4","3","0","0","0","0","0","11","0","6","0","0","6","0","0","0","0","11","0","0","0","0","0","0","0","0"
"L2770","ReflectiveTypeAdapterFactory$Adapter<T extends Object>","com.google.gson.internal.bind.ReflectiveTypeAdapterFactory$Adapter","L2700","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/bind/ReflectiveTypeAdapterFactory.java","197","3","253","4","0","0","0","0","0","0","0","0","1","3","3","13","7","2","1","16","19","0","0","0","0","0","3","0","0","1","1","0","0","1","51","57","2","0","2","0","3","0","2","0","10","29","0","9","0","51","57","2","0","2","0","3","0","2","0","10","29","0","9","0","0","0","9","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0"
