"ID","Name","LongName","CC","CCL","CCO","CEE","CEG","CI","CLC","CLLC","CR","LDC","LLDC","NCR","TAD","TCD","TCLOC","TPDA","TPUA","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Best Practice Rules","Code Style Rules","Design Rules","Documentation Rules","Error Prone Rules","Multithreading Rules","Performance Rules","Runtime Rules","Security Rules"
"L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/.columbus_java/gson-parent-2.8.6.ljsi","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/.columbus_java/gson-parent-2.8.6.ljsi","0.0988739","110","954","3706.86","3.74802","316","0.0706761","0.100461","0.308154","2697","2527","0.137246","0.291252","0.261458","8905","556","1353","25154","38160","953","781","111","16","201","140","17","2542","12708","181","212","8","11","27","2130","75","0","64","9022","265","3700","2758","861","113","12","191","6","88","0","0"
"L102","<System>","<System>","0.0988739","110","954","3706.86","3.74802","316","0.0706761","0.100461","0.308154","2697","2527","0.137246","0.291252","0.261458","8905","556","1353","25154","38160","953","781","111","16","201","140","17","2542","12708","181","212","8","11","27","2130","75","0","64","9022","265","3700","2758","861","113","12","191","6","88","0","0"
