"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","HCPL","HDIF","HEFF","HNDB","HPL","HPV","HTRP","HVOL","MI","MIMS","MISEI","MISM","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Best Practice Rules","Clone Metric Rules","Code Style Rules","Complexity Metric Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Documentation Rules","Error Prone Rules","Multithreading Rules","Performance Rules","Runtime Rules","Security Rules","Size Metric Rules"
"L4470","boolean containsKey(Object key)","com.google.gson.internal.LinkedHashTreeMap.containsKey(Ljava/lang/Object;)Z","L4402","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java","90","3","92","4","0","0","0","0","0","0","0","0","33.2842","6","279.627","42.7615","13","12","15.5348","46.6045","132.996","77.7752","116.273","67.996","1","0","0","5","1","0","0","0","0","0","3","3","1","1","3","3","1","0","0","2","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"L4472","V put(K key, V value)","com.google.gson.internal.LinkedHashTreeMap.put(Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;","L4402","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java","94","3","102","4","0","0","0","0","0","0","0","0","109.24","16.8889","3815.97","244.195","47","28","211.998","225.946","106.759","62.4324","78.5241","45.9205","2","1","1","11","1","0","0","0","0","0","9","9","6","2","9","9","6","0","1","2","0","0","0","0","0","0","0","1","2","0","0","0","0","0","0","0"
"L4479","void clear()","com.google.gson.internal.LinkedHashTreeMap.clear()V","L4402","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java","104","3","118","4","0","0","0","0","0","0","0","0","123.164","19.3846","7298.67","376.267","76","31","405.482","376.519","99.4435","58.1541","88.7979","51.9286","2","1","1","3","0","0.0769231","1","0","0.0769231","1","12","15","10","0","12","15","10","0","0","2","0","1","1","0","0","0","0","0","2","0","0","0","0","0","0","0"
"L4487","V remove(Object key)","com.google.gson.internal.LinkedHashTreeMap.remove(Ljava/lang/Object;)Ljava/lang/Object;","L4402","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java","120","3","123","4","0","0","0","0","0","0","0","0","74.1131","11.25","1284.75","118.181","26","21","71.3752","114.2","123.445","72.1899","102.596","59.9975","2","0","0","0","1","0","0","0","0","0","4","4","2","1","4","4","2","0","0","2","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"L4477","Node<K, V> find(K key, boolean create)","com.google.gson.internal.LinkedHashTreeMap.find(Ljava/lang/Object;Z)Lcom/google/gson/internal/LinkedHashTreeMap$Node;","L4402","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java","131","3","197","4","0.412879","1","9","1","0.552239","0.480769","37","25","495.424","61.4615","114912","2363.61","288","90","6383.99","1869.65","64.5956","37.7752","52.3721","30.627","14","3","3","2","4","0.223881","15","6","0.223881","15","52","67","34","2","52","67","34","0","0","10","0","4","0","7","3","1","0","0","2","0","1","0","0","0","0","0"
"L4466","Node<K, V> findByObject(Object key)","com.google.gson.internal.LinkedHashTreeMap.findByObject(Ljava/lang/Object;)Lcom/google/gson/internal/LinkedHashTreeMap$Node;","L4402","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java","199","3","206","4","0","0","0","0","0","0","0","0","88","10","1329.64","120.918","29","24","73.8688","132.964","111.195","65.0261","85.0246","49.722","3","1","1","4","1","0","0","0","0","0","8","8","3","1","8","8","3","0","0","2","0","1","0","0","1","0","0","0","2","0","0","0","0","0","0","0"
"L4519","Node<K, V> findByEntry(Entry<?, ?> entry)","com.google.gson.internal.LinkedHashTreeMap.findByEntry(Ljava/util/Map$Entry;)Lcom/google/gson/internal/LinkedHashTreeMap$Node;","L4402","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java","217","3","221","4","0","0","0","0","0","0","0","0","100.362","17.6429","3814.74","244.143","46","26","211.93","216.22","116.28","68.0002","139.685","81.6872","3","0","0","2","2","0.642857","9","9","0.642857","9","5","5","3","1","5","5","3","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"L4522","boolean equal(Object a, Object b)","com.google.gson.internal.LinkedHashTreeMap.equal(Ljava/lang/Object;Ljava/lang/Object;)Z","L4402","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java","223","3","225","4","0","0","0","0","0","0","0","0","56.1057","14.625","1374.92","123.647","23","17","76.3845","94.0116","128.887","75.3723","110.549","64.6484","3","0","0","1","0","0","0","0","0","0","3","3","1","2","3","3","1","0","0","2","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"L4494","int secondaryHash(int h)","com.google.gson.internal.LinkedHashTreeMap.secondaryHash(I)I","L4402","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java","233","3","237","4","0","0","0","0","0","0","0","0","44.0391","9","1090.02","105.915","31","15","60.5568","121.114","123.369","72.1456","149.606","87.4888","1","0","0","1","0","0.636364","7","6","0.636364","7","4","5","2","1","4","5","2","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4528","void removeInternal(Node<K, V> node, boolean unlink)","com.google.gson.internal.LinkedHashTreeMap.removeInternal(Lcom/google/gson/internal/LinkedHashTreeMap$Node;Z)V","L4402","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java","245","3","301","4","0.849594","1","7","1","0.859649","0.840909","49","37","320.18","46.7647","73514.1","1754.88","262","64","4084.12","1572","69.3536","40.5577","61.1394","35.754","9","3","2","3","4","0.266667","16","6","0.266667","16","44","57","37","2","44","57","37","0","0","7","0","1","0","7","1","0","0","0","0","0","0","0","0","0","0","0"
"L4489","Node<K, V> removeInternalByKey(Object key)","com.google.gson.internal.LinkedHashTreeMap.removeInternalByKey(Ljava/lang/Object;)Lcom/google/gson/internal/LinkedHashTreeMap$Node;","L4402","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java","303","3","309","4","0","0","0","0","0","0","0","0","64.9126","12.6","1605.72","137.124","30","19","89.2065","127.438","113.809","66.5547","88.6939","51.8678","2","1","1","2","2","0","0","0","0","0","7","7","4","1","7","7","4","0","0","2","0","1","0","0","1","0","0","0","2","0","0","0","0","0","0","0"
