"ID","Name","LongName","Parent","McCC","CLOC","PDA","PUA","LLOC","LOC"
"L124","DefaultDateTypeAdapter.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/DefaultDateTypeAdapter.java","L123","20","0","0","0","119","166"
"L125","ExclusionStrategy.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/ExclusionStrategy.java","L123","1","0","3","0","5","110"
"L126","FieldAttributes.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/FieldAttributes.java","L123","1","0","9","0","41","162"
"L127","FieldNamingPolicy.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/FieldNamingPolicy.java","L123","8","0","1","0","60","179"
"L128","FieldNamingStrategy.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/FieldNamingStrategy.java","L123","1","0","2","0","5","41"
"L129","Gson.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/Gson.java","L123","52","0","25","5","559","1041"
"L130","GsonBuilder.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/GsonBuilder.java","L123","18","0","26","0","218","628"
"L131","InstanceCreator.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/InstanceCreator.java","L123","1","0","2","0","5","93"
"L132","JsonArray.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/JsonArray.java","L123","22","0","26","5","160","385"
"L133","JsonDeserializationContext.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/JsonDeserializationContext.java","L123","1","0","2","0","5","44"
"L134","JsonDeserializer.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/JsonDeserializer.java","L123","1","0","2","0","6","92"
"L135","JsonElement.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/JsonElement.java","L123","6","0","23","0","95","323"
"L136","JsonIOException.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/JsonIOException.java","L123","1","0","2","2","13","46"
"L137","JsonNull.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/JsonNull.java","L123","2","0","5","0","19","68"
"L138","JsonObject.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/JsonObject.java","L123","9","0","16","2","67","206"
"L139","JsonParseException.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/JsonParseException.java","L123","1","0","4","0","13","65"
"L140","JsonParser.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/JsonParser.java","L123","8","0","8","0","57","113"
"L141","JsonPrimitive.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/JsonPrimitive.java","L123","31","0","19","4","136","296"
"L142","JsonSerializationContext.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/JsonSerializationContext.java","L123","1","0","3","0","6","50"
"L143","JsonSerializer.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/JsonSerializer.java","L123","1","0","2","0","5","90"
"L144","JsonStreamParser.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/JsonStreamParser.java","L123","8","0","6","0","51","123"
"L145","JsonSyntaxException.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/JsonSyntaxException.java","L123","1","0","2","2","13","48"
"L146","LongSerializationPolicy.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/LongSerializationPolicy.java","L123","1","0","2","0","14","59"
"L147","package-info.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/package-info.java","L123","1","0","0","0","1","11"
"L148","TypeAdapter.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/TypeAdapter.java","L123","6","0","10","0","70","291"
"L149","TypeAdapterFactory.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/TypeAdapterFactory.java","L123","1","0","2","0","5","171"
"L1833","$Gson$Preconditions.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/$Gson$Preconditions.java","L1832","3","0","1","2","17","50"
"L1834","$Gson$Types.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/$Gson$Types.java","L1832","87","0","10","3","410","611"
"L1835","ConstructorConstructor.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/ConstructorConstructor.java","L1832","24","0","1","3","192","239"
"L1836","Excluder.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/Excluder.java","L1832","44","0","1","8","194","261"
"L1837","JavaVersion.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/JavaVersion.java","L1832","9","0","3","0","54","93"
"L1838","JsonReaderInternalAccess.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/JsonReaderInternalAccess.java","L1832","1","0","2","0","7","33"
"L1839","LazilyParsedNumber.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/LazilyParsedNumber.java","L1832","7","0","2","7","59","97"
"L1840","LinkedHashTreeMap.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/LinkedHashTreeMap.java","L1832","102","0","3","8","593","865"
"L1841","LinkedTreeMap.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/LinkedTreeMap.java","L1832","80","0","3","8","441","631"
"L1842","ObjectConstructor.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/ObjectConstructor.java","L1832","1","0","2","0","4","33"
"L1843","package-info.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/package-info.java","L1832","1","0","0","0","1","7"
"L1844","PreJava9DateFormatProvider.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/PreJava9DateFormatProvider.java","L1832","13","0","3","0","54","87"
"L1845","Primitives.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/Primitives.java","L1832","28","0","5","0","45","101"
"L1846","Streams.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/Streams.java","L1832","7","0","3","1","71","121"
"L1847","UnsafeAllocator.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/UnsafeAllocator.java","L1832","6","0","1","2","74","124"
"L5427","Expose.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/annotations/Expose.java","L5426","1","0","3","0","13","82"
"L5428","JsonAdapter.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/annotations/JsonAdapter.java","L5426","1","0","1","0","15","105"
"L5429","package-info.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/annotations/package-info.java","L5426","1","0","0","0","1","6"
"L5430","SerializedName.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/annotations/SerializedName.java","L5426","1","0","1","0","13","94"
"L5431","Since.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/annotations/Since.java","L5426","1","0","1","0","12","64"
"L5432","Until.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/annotations/Until.java","L5426","1","0","1","0","12","69"
"L6574","package-info.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/reflect/package-info.java","L6573","1","0","0","0","1","6"
"L6575","TypeToken.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/reflect/TypeToken.java","L6573","28","0","10","3","176","321"
"L6741","JsonReader.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/stream/JsonReader.java","L6740","322","0","20","1","1072","1614"
"L6742","JsonScope.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/stream/JsonScope.java","L6740","1","0","0","0","11","72"
"L6743","JsonToken.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/stream/JsonToken.java","L6740","1","0","1","0","13","86"
"L6744","JsonWriter.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/stream/JsonWriter.java","L6740","50","0","24","0","318","659"
"L6745","MalformedJsonException.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/stream/MalformedJsonException.java","L6740","1","0","1","3","15","45"
"L2109","ArrayTypeAdapter.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/bind/ArrayTypeAdapter.java","L2108","9","0","1","3","69","100"
"L2110","CollectionTypeAdapterFactory.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/bind/CollectionTypeAdapterFactory.java","L2108","6","0","1","2","70","103"
"L2111","DateTypeAdapter.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/bind/DateTypeAdapter.java","L2108","9","0","1","3","65","102"
"L2112","JsonAdapterAnnotationTypeAdapterFactory.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/bind/JsonAdapterAnnotationTypeAdapterFactory.java","L2108","10","0","1","2","53","84"
"L2113","JsonTreeReader.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/bind/JsonTreeReader.java","L2108","45","0","1","19","254","317"
"L2114","JsonTreeWriter.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/bind/JsonTreeWriter.java","L2108","26","0","2","15","157","209"
"L2115","MapTypeAdapterFactory.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/bind/MapTypeAdapterFactory.java","L2108","23","0","1","2","160","265"
"L2116","ObjectTypeAdapter.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/bind/ObjectTypeAdapter.java","L2108","12","0","1","2","74","110"
"L2117","ReflectiveTypeAdapterFactory.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/bind/ReflectiveTypeAdapterFactory.java","L2108","31","0","1","6","209","255"
"L2118","SqlDateTypeAdapter.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/bind/SqlDateTypeAdapter.java","L2108","5","0","1","2","40","68"
"L2119","TimeTypeAdapter.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/bind/TimeTypeAdapter.java","L2108","5","0","1","2","39","67"
"L2120","TreeTypeAdapter.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/bind/TreeTypeAdapter.java","L2108","13","0","4","3","117","166"
"L2121","TypeAdapterRuntimeTypeWrapper.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/bind/TypeAdapterRuntimeTypeWrapper.java","L2108","8","0","0","0","47","83"
"L2122","TypeAdapters.java","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/bind/TypeAdapters.java","L2108","113","0","2","4","807","908"
